MatchName,MatchId,SummonerName,championName
14.1.547.8890,LOLTMNT99_113183,cq|000162,CNV Shimmer,Nocturne
14.1.547.8890,LOLTMNT99_113183,cq|000162,COLD Cupic,Nami
14.1.547.8890,LOLTMNT99_113183,cq|000162,COLD Yozu,Hwei
14.1.547.8890,LOLTMNT99_113188,cq|000164,TL CoreJJ,Karma
14.1.547.8890,LOLTMNT99_113188,cq|000164,LIT Dragoon,Aatrox
14.1.547.8890,LOLTMNT99_113188,cq|000164,LIT Messages,Yone
14.1.547.8890,LOLTMNT99_113188,cq|000164,TL Yeon,Varus
14.1.547.8890,LOLTMNT99_113188,cq|000164,TLHC Keel,Evelynn
14.1.547.8890,LOLTMNT99_113188,cq|000164,TL APA,KSante
14.1.547.8890,LOLTMNT99_113188,cq|000164,Spica,Brand
14.1.547.8890,LOLTMNT99_113188,cq|000164,TLHC Jenkins,Warwick
14.1.547.8890,LOLTMNT99_113188,cq|000164,DIG Tomo,Jhin
14.1.547.8890,LOLTMNT99_113188,cq|000164,DIG Isles,Rell
14.1.547.8890,LOLTMNT99_113191,cq|000165,MU Niles,Kennen
14.1.547.8890,LOLTMNT99_113191,cq|000165,CNV Shimmer,Jax
14.1.547.8890,LOLTMNT99_113191,cq|000165,BOG RJS,Ahri
14.1.547.8890,LOLTMNT99_113191,cq|000165,WC Lens,Lucian
14.1.547.8890,LOLTMNT99_113191,cq|000165,Billy1,Nami
14.1.547.8890,LOLTMNT99_113191,cq|000165,ISU CMD ATK,Ziggs
14.1.547.8890,LOLTMNT99_113191,cq|000165,BOL Aizo,Ornn
14.1.547.8890,LOLTMNT99_113191,cq|000165,OLD RBM,Graves
14.1.547.8890,LOLTMNT99_113191,cq|000165,TRV InoriB,Aphelios
14.1.547.8890,LOLTMNT99_113191,cq|000165,APR Clyde,Nautilus
14.1.547.8890,LOLTMNT99_113199,cq|000166,COLD Yukino,Rengar
14.1.547.8890,LOLTMNT99_113199,cq|000166,KatEvolved,Hwei
14.1.547.8890,LOLTMNT99_113199,cq|000166,FLY Bwipo,KSante
14.1.547.8890,LOLTMNT99_113199,cq|000166,FLYC sajed,Lucian
14.1.547.8890,LOLTMNT99_113199,cq|000166,FLY Busio,TahmKench
14.1.547.8890,LOLTMNT99_113199,cq|000166,Jojopyun,TwistedFate
14.1.547.8890,LOLTMNT99_113199,cq|000166,AOE Breezy,Karma
14.1.547.8890,LOLTMNT99_113199,cq|000166,TACO Nxi,Belveth
14.1.547.8890,LOLTMNT99_113199,cq|000166,Tenacity,Olaf
14.1.547.8890,LOLTMNT99_113199,cq|000166,Doublelift,Caitlyn
14.1.547.8890,LOLTMNT99_113213,cq|000167,LIT Dragoon,Mordekaiser
14.1.547.8890,LOLTMNT99_113213,cq|000167,TL CoreJJ,TahmKench
14.1.547.8890,LOLTMNT99_113213,cq|000167,LIT Messages,Akali
14.1.547.8890,LOLTMNT99_113213,cq|000167,TL Yeon,Aphelios
14.1.547.8890,LOLTMNT99_113213,cq|000167,TLHC Keel,Viego
14.1.547.8890,LOLTMNT99_113213,cq|000167,NRG Dhokla,Yone
14.1.547.8890,LOLTMNT99_113213,cq|000167,TL APA,Galio
14.1.547.8890,LOLTMNT99_113213,cq|000167,Spica,Gragas
14.1.547.8890,LOLTMNT99_113213,cq|000167,DIG Tomo,Kalista
14.1.547.8890,LOLTMNT99_113213,cq|000167,DIG Isles,Renata
14.1.547.8890,LOLTMNT99_113227,cq|000168,COLD Yukino,Rengar
14.1.547.8890,LOLTMNT99_113227,cq|000168,KatEvolved,Syndra
