Patch;MatchName;MatchId;SummonerName;championName
14.1.547.8890;LOLTMNT99_125162;scrim| EIQ game 1;EIQ Robocop;Ornn
14.1.547.8890;LOLTMNT99_125162;scrim| EIQ game 1;ANO SPOOKY;Rell
14.1.547.8890;LOLTMNT99_125162;scrim| EIQ game 1;AB many;Syndra
14.1.547.8890;LOLTMNT99_125162;scrim| EIQ game 1;SIN Strode;Lucian
14.1.547.8890;LOLTMNT99_125162;scrim| EIQ game 1;EIQ denyk;Milio
14.1.547.8890;LOLTMNT99_125162;scrim| EIQ game 1;AEG Agresivoo;Sion
14.1.547.8890;LOLTMNT99_125162;scrim| EIQ game 1;AEG Ryuzaki;LeeSin
14.1.547.8890;LOLTMNT99_125162;scrim| EIQ game 1;AEG Nafkelah;Orianna
14.1.547.8890;LOLTMNT99_125162;scrim| EIQ game 1;AEG Hid0;Caitlyn
14.1.547.8890;LOLTMNT99_125162;scrim| EIQ game 1;AEG Veignorem;Lux
14.1.547.8890;LOLTMNT99_122460;Scrim| AEG G4;AEG Agresivoo;Rumble
14.1.547.8890;LOLTMNT99_122460;Scrim| AEG G4;AEG Ryuzaki;Viego
14.1.547.8890;LOLTMNT99_122460;Scrim| AEG G4;AEG Nafkelah;TwistedFate
14.1.547.8890;LOLTMNT99_122460;Scrim| AEG G4;AEG Hid0;Caitlyn
14.1.547.8890;LOLTMNT99_122460;Scrim| AEG G4;AEG Veignorem;Heimerdinger
14.1.547.8890;LOLTMNT99_122460;Scrim| AEG G4;SUP ARMUT;Leblanc
14.1.547.8890;LOLTMNT99_122460;Scrim| AEG G4;SUP SKEANZ;LeeSin
14.1.547.8890;LOLTMNT99_122460;Scrim| AEG G4;SUP BLUE;Sylas
14.1.547.8890;LOLTMNT99_122460;Scrim| AEG G4;SUP LUGER;Ezreal
14.1.547.8890;LOLTMNT99_122460;Scrim| AEG G4;SUP JACTROLL;Senna
14.1.547.8890;LOLTMNT99_123289;Scrim| AEG G3;SUP ARMUT;Renekton
14.1.547.8890;LOLTMNT99_123289;Scrim| AEG G3;SUP SKEANZ;XinZhao
14.1.547.8890;LOLTMNT99_123289;Scrim| AEG G3;SUP BLUE;Orianna
14.1.547.8890;LOLTMNT99_123289;Scrim| AEG G3;SUP LUGER;Jhin
14.1.547.8890;LOLTMNT99_123289;Scrim| AEG G3;SUP JACTROLL;Ashe
14.1.547.8890;LOLTMNT99_123289;Scrim| AEG G3;AEG Agresivoo;Malphite
14.1.547.8890;LOLTMNT99_123289;Scrim| AEG G3;AEG Ryuzaki;LeeSin
14.1.547.8890;LOLTMNT99_123289;Scrim| AEG G3;AEG Nafkelah;Leblanc
14.1.547.8890;LOLTMNT99_123289;Scrim| AEG G3;AEG Hid0;Varus
14.1.547.8890;LOLTMNT99_123289;Scrim| AEG G3;AEG Veignorem;Rakan
14.1.547.8890;LOLTMNT99_122305;SCRIM| AEG G2;AEG Agresivoo;KSante
14.1.547.8890;LOLTMNT99_122305;SCRIM| AEG G2;AEG Ryuzaki;Maokai
14.1.547.8890;LOLTMNT99_122305;SCRIM| AEG G2;AEG Nafkelah;Jayce
14.1.547.8890;LOLTMNT99_122305;SCRIM| AEG G2;AEG Hid0;Kaisa
14.1.547.8890;LOLTMNT99_122305;SCRIM| AEG G2;AEG Veignorem;Alistar
14.1.547.8890;LOLTMNT99_122305;SCRIM| AEG G2;MISA IlllIma;Olaf
14.1.547.8890;LOLTMNT99_122305;SCRIM| AEG G2;MISA Mojito;Vi
14.1.547.8890;LOLTMNT99_122305;SCRIM| AEG G2;MISA DICE;Orianna
14.1.547.8890;LOLTMNT99_122305;SCRIM| AEG G2;MISA Asza;Xayah
