MatchId;SummonnerName;XPD@15;GD@15;XP/Min;Gold/Min;Kills;Deaths;Assists;KP%;WardPlaced;WardKilled;Damage/Min;topLanePresence;midLanePresence;botLanePresence;jungleAllyEntryPresence;jungleEnemyEntryPresence;jungleAllyTopPresence;jungleAllyBotPresence;jungleEnemyTopPresence;jungleEnemyBotPresence;riverBotPresence;riverTopPresence
110853167109182164|game1;KT Cuzz;-307;-548;366.4063718832435;321.0556090816284;0;1;0;0;7;7;41.897000236488914;0.011764705882352941;0.08725490196078431;0.015032679738562092;0.0650326797385621;0.028104575163398694;0.1830065359477124;0.2529411764705882;0.0;0.005555555555555556;0.06895424836601308;0.05522875816993464
110853167109182164|game1;DK Canyon;-307;-548;385.7972969251596;355.6687260945602;0;0;0;0.0;9;2;28.24319893853157;0.0;0.028104575163398694;0.05;0.030065359477124184;0.00392156862745098;0.25555555555555554;0.24542483660130718;0.02908496732026144;0.0;0.09738562091503268;0.0457516339869281
110853167109182168|game1;FNC Razork;198;125;382.7438209228592;326.46911061885464;0;0;3;1.0;4;3;174.9870568126197;0.0;0.05396402398401066;0.04596935376415723;0.01698867421718854;0.009660226515656229;0.2078614257161892;0.22185209860093272;0.0;0.051632245169886744;0.13757495003331113;0.039973351099267154
110853167109182168|game1;WBG Weiwei;198;125;370.2383297441915;318.57422982424123;0;0;0;0;8;1;82.74894405392749;0.0006662225183211193;0.10493004663557629;0.006662225183211193;0.03231179213857428;0.014323784143904063;0.1995336442371752;0.23950699533644237;0.001998667554963358;0.0;0.11225849433710859;0.07894736842105263
110853167109182168|game2;WBG Weiwei;-426;-426;354.2002856692963;320.8400018959484;0;0;1;0.5;7;4;97.49109973200905;0.012474012474012475;0.02772002772002772;0.09563409563409564;0.019404019404019403;0.022176022176022176;0.1878031878031878;0.1781011781011781;0.011088011088011088;0.0024255024255024253;0.10221760221760222;0.11884961884961885
110853167109182168|game2;FNC Razork;-426;-426;381.11596916824743;347.7556853948995;2;0;1;1.0;9;5;100.99532182299068;0.0;0.088011088011088;0.06895356895356895;0.014206514206514207;0.02252252252252252;0.18607068607068608;0.2591822591822592;0.0;0.042966042966042964;0.10325710325710326;0.026334026334026334
110853167109182168|game3;FNC Razork;1032;1528;349.6677625649784;367.5459878234949;1;2;3;0.8;4;3;213.1217776209265;0.004397215097105167;0.12788567240747525;0.0;0.03920850128252107;0.009160864785635764;0.15793330890436058;0.19824111396115793;0.05826310003664346;0.00036643459142543056;0.09967020886771712;0.1161597654818615
110853167109182168|game3;WBG Weiwei;1032;1528;284.47225561519383;271.01620621567434;0;2;2;0.25;5;3;133.15100255676666;0.0;0.07768413338219128;0.05166727739098571;0.022718944668376696;0.029314767314034446;0.079149871747893;0.22828875045804323;0.0;0.07878343715646757;0.08537925980212532;0.043972150971051664
110853167109182166|game3;BLG XUN;704;873;354.7731257920583;356.09949852512455;1;1;4;0.625;4;6;210.7024257723753;0.02763819095477387;0.04235463029432879;0.0;0.027279253409906678;0.04953338119167265;0.12347451543431442;0.12778176597272076;0.13388370423546303;0.0014357501794687725;0.07430007178750897;0.1363962670495334
110853167109182166|game3;G2 Yike;704;873;310.3080589311701;300.9602891933697;0;1;2;0.4;7;0;202.0039026579127;0.0;0.02297200287150036;0.01615218951902369;0.04271356783919598;0.011844938980617373;0.3230437903804738;0.2609475951184494;0.0;0.0104091888011486;0.03948312993539124;0.041277817659727205
110853020184706735|game2;NRG Contractz;262;-195;347.4348851429524;309.8350749101302;1;1;1;1.0;4;5;103.52757656149734;0.017120894479385047;0.019916142557651992;0.12403913347309574;0.050314465408805034;0.011180992313067784;0.18273934311670162;0.19986023759608665;0.05625436757512229;0.021313766596785466;0.039832285115303984;0.03459119496855346
110853020184706735|game2;WBG Weiwei;262;-195;330.8783300488357;322.1577017931559;0;0;5;1.0;6;3;113.23478482344001;0.01222921034241789;0.0496156533892383;0.07721872816212438;0.020964360587002098;0.031097134870719776;0.12194269741439553;0.1792452830188679;0.015723270440251572;0.08979734451432565;0.09853249475890985;0.031097134870719776
