MatchId;SummonnerName;XPD@15;GD@15;XP/Min;Gold/Min;CS/Min;Kills;Deaths;Assists;KP%;Damage/Min;JungleProximity;botLanePresence;riverBotPresence
110853167109182156|game1;NRG FBI;-1055;256;325.3931536930578;333.3542289096258;1.5163952793462887;1;1;2;0.6;369.592287565895;0.151985559566787;0.5314079422382672;0.050902527075812276
110853167109182156|game1;G2 Hans Sama;-1055;256;392.05136284765507;317.179345929932;9.035188539438304;0;1;0;0.0;244.33366280010665;0.11191335740072202;0.5191335740072203;0.0021660649819494585
110853167109182154|game1;T1 Gumayusi;-1142;212;265.095323182589;324.5949168061294;1.389587112227057;3;0;0;0.6;458.3568016886255;0.24628986422481844;0.5333122829175876;0.052731291443006
110853167109182154|game1;BLG Elk;-1142;212;337.2275269172845;311.20435008830503;7.4532399655814885;0;1;1;1.0;268.3692540755079;0.1806125670982002;0.5168929586359331;0.02083991158825387
110853167109182166|game1;G2 Hans Sama;-20;-16;365.7866900728348;337.2994171971918;8.14824434802205;1;2;0;1.0;186.5759417748514;0.1129842180774749;0.6732424677187948;0.004662840746054519
110853167109182166|game1;BLG Elk;-20;-16;367.0499837702026;338.31005215508605;8.400903087495601;0;0;1;0.2;338.74890484111745;0.12230989956958394;0.7342180774748924;0.013988522238163558
110853167109182166|game2;G2 Hans Sama;599;-105;422.2793639408673;367.3230368460948;10.043742538010157;1;0;1;0.5;337.8727796150555;0.14602215508559918;0.6683450822423632;0.006042296072507553
110853167109182166|game2;BLG Elk;599;-105;384.44161689515613;373.95569701270523;9.79106976975833;1;1;0;0.5;360.36679391438054;0.2645182947297751;0.67472306143001;0.005370929842228936
110853167109182152|game3;LNG GALA;373;-197;397.1877433942333;391.37554800815576;9.53958155758378;1;1;1;0.6666666666666666;175.668851917596;0.1359260685406238;0.6900269541778976;0.050827878321139774
110853167109182152|game3;KT Aiming;373;-197;373.6230816658972;403.8212272587783;9.47640552077859;0;0;2;0.6666666666666666;193.48944534837227;0.12668463611859837;0.6904120138621487;0.05775895263765884
110853167109182156|game2;G2 Hans Sama;408;-195;418.45624340084805;352.06169149651663;9.665429535073937;1;0;0;1.0;252.10780794669867;0.11545230552622317;0.6374516015487505;0.03871876099964801
110853167109182156|game2;NRG FBI;408;-195;392.6817646406509;364.3803761980815;9.98129324537047;0;1;1;0.3333333333333333;258.22720464271214;0.14431538190777896;0.6159802886307638;0.03519887363604365
110853167109182154|game2;BLG Elk;-763;-944;355.61473382765024;349.48562416502017;8.656577564745573;0;0;1;0.16666666666666666;154.2312160503998;0.07526132404181185;0.6916376306620209;0.03240418118466899
110853167109182154|game2;T1 Gumayusi;-763;-944;403.8261840605033;409.13386665494585;10.741738583990857;2;0;1;0.75;300.9830153067732;0.1916376306620209;0.6874564459930314;0.06202090592334495
110853167109182164|game1;KT Aiming;78;43;409.3569550379764;419.0208362477913;10.92713365554234;0;0;0;0;67.4248502251734;0.2107843137254902;0.7094771241830066;0.00980392156862745
110853167109182164|game1;DK Deft;78;43;404.43027049963933;416.30484348947726;10.106019565819507;1;0;1;1.0;246.36640962991484;0.23366013071895425;0.46078431372549017;0.041176470588235294
110853167109182168|game1;FNC Noah;-227;1789;385.6491370552769;467.503261133829;9.726493138963749;2;0;0;0.6666666666666666;154.9250699155843;0.13590939373750832;0.7741505662891406;0.06528980679546968
110853167109182168|game1;WBG Light;-227;1789;399.98624057829494;354.51172720132155;9.915970278034472;0;0;0;0;96.27622092762456;0.16955363091272485;0.6415722851432378;0.04263824117255163
110853167109182168|game2;WBG Light;170;195;365.88902146109433;372.7127158692791;10.04599454538318;1;1;0;0.5;218.2380265025681;0.20755370755370756;0.8028413028413028;0.011434511434511435
110853167109182168|game2;FNC Noah;170;195;355.1480210037664;360.3921565211677;8.845529788387706;1;0;1;0.6666666666666666;115.31754786722594;0.18745668745668745;0.7013167013167013;0.02772002772002772
110853167109182168|game3;FNC Noah;-771;-2633;362.87111620112665;299.6340014174693;6.443741965967082;0;1;2;0.4;187.2738728512365;0.1714913887871015;0.5742030047636497;0.04177354342249908
110853167109182168|game3;WBG Light;-771;-2633;411.57822459093666;465.97098765659996;9.602439008107808;1;0;2;0.375;388.3185234801269;0.22132649322096007;0.6958592891168927;0.0
110853167109182166|game3;BLG Elk;-1664;-618;337.2776378368509;349.78343789147567;7.326630335032715;1;3;3;0.5;405.71496125515955;0.11055276381909548;0.5710696338837042;0.05778894472361809
110853167109182166|game3;G2 Hans Sama;-1664;-618;442.3768867807684;388.8166926074258;9.284609131463872;1;0;3;0.8;260.4831608116668;0.09798994974874371;0.6234745154343144;0.02297200287150036
110853020184706735|game2;NRG FBI;-1;-772;369.93157832427124;339.66215126289;8.341470505432833;1;1;1;1.0;202.8087745414428;0.2180293501048218;0.550314465408805;0.030747728860936407
110853020184706735|game2;WBG Light;-1;-772;369.99477128264573;388.44711512799717;8.910207130803254;0;1;1;0.2;228.8614447205102;0.34870719776380155;0.5048916841369672;0.02061495457721873
110853020184706729|game1;GEN Peyz;-993;-182;351.56131387759814;379.4158843806561;8.842720794621584;2;1;0;0.5;294.0630269495458;0.14421601718318502;0.6836452899662473;0.0015342129487572874
